"","ID","Family","Physiological System","Organ","Species","Gene","Percentile","Discovery Rate","GMFC","cPValue","DOI","X12"
"1",1786752,"Estrogen-related receptors","ALL","ALL","House Mouse","Fbp2",99.99,0.8125,1.58654249,5.92753e-15,"10.1621/AMjW8Lrezy.1",NA
"2",1770605,"Estrogen-related receptors","ALL","ALL","House Mouse","Col18a1",99.99,0.764705882,1.472710982,2.40232e-14,"10.1621/AMjW8Lrezy.1",NA
"3",1763769,"Estrogen-related receptors","ALL","ALL","House Mouse","Chchd10",99.98,0.722222222,2.520506285,8.24724e-14,"10.1621/AMjW8Lrezy.1",NA
"4",1786760,"Estrogen-related receptors","ALL","ALL","House Mouse","Gpx3",99.98,0.722222222,1.542838323,8.24724e-14,"10.1621/AMjW8Lrezy.1",NA
"5",1755283,"Estrogen-related receptors","ALL","ALL","House Mouse","Slc40a1",99.97,0.8,1.778305089,9.64061e-14,"10.1621/AMjW8Lrezy.1",NA
"6",1749155,"Estrogen-related receptors","ALL","ALL","House Mouse","Spint1",99.95,0.75,1.847557421,3.67842e-13,"10.1621/AMjW8Lrezy.1",NA
"7",1782194,"Estrogen-related receptors","ALL","ALL","House Mouse","Clu",99.95,0.75,1.545401954,3.67842e-13,"10.1621/AMjW8Lrezy.1",NA
"8",1772311,"Estrogen-related receptors","ALL","ALL","House Mouse","Gbp3",99.95,0.75,1.673942606,3.67842e-13,"10.1621/AMjW8Lrezy.1",NA
"9",1761881,"Estrogen-related receptors","ALL","ALL","House Mouse","Acaa2",99.95,0.75,1.44115965,3.67842e-13,"10.1621/AMjW8Lrezy.1",NA
"10",1761535,"Estrogen-related receptors","ALL","ALL","House Mouse","Tnnt1",99.95,0.75,1.908864885,3.67842e-13,"10.1621/AMjW8Lrezy.1",NA
"11",1750012,"Estrogen-related receptors","ALL","ALL","House Mouse","Serpine2",99.95,0.75,1.388329587,3.67842e-13,"10.1621/AMjW8Lrezy.1",NA
"12",1757059,"Estrogen-related receptors","ALL","ALL","House Mouse","Mcrip2",99.94,0.785714286,1.345075499,1.54406e-12,"10.1621/AMjW8Lrezy.1",NA
"13",1763036,"Estrogen-related receptors","ALL","ALL","House Mouse","Mreg",99.93,0.833333333,2.112542762,5.8728e-12,"10.1621/AMjW8Lrezy.1",NA
"14",1755280,"Estrogen-related receptors","ALL","ALL","House Mouse","Psme1",99.89,0.6875,1.333414373,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"15",1784929,"Estrogen-related receptors","ALL","ALL","House Mouse","Zswim1",99.89,0.6875,1.440070008,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"16",1783882,"Estrogen-related receptors","ALL","ALL","House Mouse","Car2",99.89,0.6875,2.136617086,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"17",1782934,"Estrogen-related receptors","ALL","ALL","House Mouse","Plcb3",99.89,0.6875,1.294480892,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"18",1781956,"Estrogen-related receptors","ALL","ALL","House Mouse","Ephx2",99.89,0.6875,1.710032034,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"19",1779091,"Estrogen-related receptors","ALL","ALL","House Mouse","H19",99.89,0.6875,3.213114709,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"20",1776313,"Estrogen-related receptors","ALL","ALL","House Mouse","Esrp1",99.89,0.6875,2.136445268,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"21",1772681,"Estrogen-related receptors","ALL","ALL","House Mouse","Vasn",99.89,0.6875,1.636453437,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"22",1772467,"Estrogen-related receptors","ALL","ALL","House Mouse","Msn",99.89,0.6875,1.393043872,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"23",1769629,"Estrogen-related receptors","ALL","ALL","House Mouse","Stbd1",99.89,0.6875,1.718213787,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"24",1769179,"Estrogen-related receptors","ALL","ALL","House Mouse","Pls3",99.89,0.6875,1.5005851,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"25",1768211,"Estrogen-related receptors","ALL","ALL","House Mouse","Ltb4r1",99.89,0.6875,1.528587513,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"26",1767724,"Estrogen-related receptors","ALL","ALL","House Mouse","Cenpv",99.89,0.6875,1.427384914,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"27",1765044,"Estrogen-related receptors","ALL","ALL","House Mouse","Gsta3",99.89,0.6875,2.133330768,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"28",1762745,"Estrogen-related receptors","ALL","ALL","House Mouse","Mrpl55",99.89,0.6875,1.293504453,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"29",1762356,"Estrogen-related receptors","ALL","ALL","House Mouse","Nupr1",99.89,0.6875,1.460819093,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"30",1761555,"Estrogen-related receptors","ALL","ALL","House Mouse","Vegfa",99.89,0.6875,1.951517571,1.68711e-11,"10.1621/AMjW8Lrezy.1",NA
"31",1773591,"Estrogen-related receptors","ALL","ALL","House Mouse","Pm20d2",99.85,0.9,1.297559456,1.86523e-11,"10.1621/AMjW8Lrezy.1",NA
"32",1754381,"Estrogen-related receptors","ALL","ALL","House Mouse","Marcks",99.84,0.647058824,1.682764263,4.56144e-11,"10.1621/AMjW8Lrezy.1",NA
"33",1760872,"Estrogen-related receptors","ALL","ALL","House Mouse","Igfbp3",99.84,0.647058824,1.573468611,4.56144e-11,"10.1621/AMjW8Lrezy.1",NA
"34",1761076,"Estrogen-related receptors","ALL","ALL","House Mouse","Cluh",99.82,0.714285714,1.32883027,8.11652e-11,"10.1621/AMjW8Lrezy.1",NA
"35",1785839,"Estrogen-related receptors","ALL","ALL","House Mouse","Tdh",99.82,0.714285714,3.097077407,8.11652e-11,"10.1621/AMjW8Lrezy.1",NA
"36",1769896,"Estrogen-related receptors","ALL","ALL","House Mouse","Cavin4",99.82,0.714285714,1.187245991,8.11652e-11,"10.1621/AMjW8Lrezy.1",NA
"37",1763222,"Estrogen-related receptors","ALL","ALL","House Mouse","Irx5",99.82,0.714285714,1.555653292,8.11652e-11,"10.1621/AMjW8Lrezy.1",NA
"38",1761080,"Estrogen-related receptors","ALL","ALL","House Mouse","Slc52a3",99.82,0.714285714,1.423210971,8.11652e-11,"10.1621/AMjW8Lrezy.1",NA
"39",1755229,"Estrogen-related receptors","ALL","ALL","House Mouse","Txnip",99.79,0.611111111,1.483439409,1.11929e-10,"10.1621/AMjW8Lrezy.1",NA
"40",1786772,"Estrogen-related receptors","ALL","ALL","House Mouse","Sox18",99.79,0.611111111,1.347763005,1.11929e-10,"10.1621/AMjW8Lrezy.1",NA
"41",1771047,"Estrogen-related receptors","ALL","ALL","House Mouse","H2-D1",99.79,0.611111111,2.039144859,1.11929e-10,"10.1621/AMjW8Lrezy.1",NA
"42",1768289,"Estrogen-related receptors","ALL","ALL","House Mouse","Id2",99.79,0.611111111,1.819280606,1.11929e-10,"10.1621/AMjW8Lrezy.1",NA
"43",1765980,"Estrogen-related receptors","ALL","ALL","House Mouse","Id1",99.79,0.611111111,1.644836018,1.11929e-10,"10.1621/AMjW8Lrezy.1",NA
"44",1765043,"Estrogen-related receptors","ALL","ALL","House Mouse","Gpc3",99.79,0.611111111,1.712732489,1.11929e-10,"10.1621/AMjW8Lrezy.1",NA
"45",1760770,"Estrogen-related receptors","ALL","ALL","House Mouse","Slc2a3",99.79,0.611111111,2.358717177,1.11929e-10,"10.1621/AMjW8Lrezy.1",NA
"46",1755270,"Estrogen-related receptors","ALL","ALL","House Mouse","Prps1",99.79,0.611111111,1.394897938,1.11929e-10,"10.1621/AMjW8Lrezy.1",NA
"47",1782196,"Estrogen-related receptors","ALL","ALL","House Mouse","Inhbb",99.77,0.666666667,2.173455164,2.32445e-10,"10.1621/AMjW8Lrezy.1",NA
"48",1762981,"Estrogen-related receptors","ALL","ALL","House Mouse","Emilin2",99.75,0.75,1.636636885,3.74276e-10,"10.1621/AMjW8Lrezy.1",NA
"49",1777303,"Estrogen-related receptors","ALL","ALL","House Mouse","Nob1",99.75,0.75,1.436020463,3.74276e-10,"10.1621/AMjW8Lrezy.1",NA
"50",1770228,"Estrogen-related receptors","ALL","ALL","House Mouse","Fgfr1op",99.75,0.75,1.409452765,3.74276e-10,"10.1621/AMjW8Lrezy.1",NA
"51",1768065,"Estrogen-related receptors","ALL","ALL","House Mouse","Rgma",99.75,0.75,2.055269275,3.74276e-10,"10.1621/AMjW8Lrezy.1",NA
"52",1766076,"Estrogen-related receptors","ALL","ALL","House Mouse","Fmnl2",99.75,0.75,1.356988062,3.74276e-10,"10.1621/AMjW8Lrezy.1",NA
"53",1745664,"Estrogen-related receptors","ALL","ALL","House Mouse","Podxl",99.58,0.625,1.896657376,5.91736e-10,"10.1621/AMjW8Lrezy.1",NA
"54",1787767,"Estrogen-related receptors","ALL","ALL","House Mouse","Pla2g10",99.58,0.625,2.184271955,5.91736e-10,"10.1621/AMjW8Lrezy.1",NA
"55",1786852,"Estrogen-related receptors","ALL","ALL","House Mouse","Gadd45g",99.58,0.625,1.689238047,5.91736e-10,"10.1621/AMjW8Lrezy.1",NA
"56",1786762,"Estrogen-related receptors","ALL","ALL","House Mouse","Rhob",99.58,0.625,1.662204444,5.91736e-10,"10.1621/AMjW8Lrezy.1",NA
"57",1785832,"Estrogen-related receptors","ALL","ALL","House Mouse","Josd2",99.58,0.625,1.291919429,5.91736e-10,"10.1621/AMjW8Lrezy.1",NA
