10.1621/KJBzdZDiD4.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
1677247,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Capn10,99.99,0.833333333,1.426922483,5.8728E-12,10.1621/KJBzdZDiD4.1,
1690568,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Olig1,99.96,0.75,1.549861823,3.74276E-10,10.1621/KJBzdZDiD4.1,
1753400,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Reck,99.96,0.75,1.30200189,3.74276E-10,10.1621/KJBzdZDiD4.1,
1751475,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Csad,99.96,0.75,2.553466725,3.74276E-10,10.1621/KJBzdZDiD4.1,
1750308,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Pstpip2,99.96,0.75,1.274136227,3.74276E-10,10.1621/KJBzdZDiD4.1,
1749728,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Lcn2,99.96,0.75,3.807036738,3.74276E-10,10.1621/KJBzdZDiD4.1,
1749456,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Ephx1,99.96,0.75,1.328872599,3.74276E-10,10.1621/KJBzdZDiD4.1,
1746360,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Nr0b2,99.93,0.875,2.705288259,5.97656E-09,10.1621/KJBzdZDiD4.1,
1676315,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Fstl1,99.81,0.666666667,1.250111432,1.61235E-08,10.1621/KJBzdZDiD4.1,
1759201,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Acaa1b,99.81,0.666666667,1.601449447,1.61235E-08,10.1621/KJBzdZDiD4.1,
1759072,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Cyp7a1,99.81,0.666666667,3.105751031,1.61235E-08,10.1621/KJBzdZDiD4.1,
1757707,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Cyp8b1,99.81,0.666666667,2.160373893,1.61235E-08,10.1621/KJBzdZDiD4.1,
1757626,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Plpp3,99.81,0.666666667,1.270894897,1.61235E-08,10.1621/KJBzdZDiD4.1,
1757489,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Mfsd4b1,99.81,0.666666667,1.233578775,1.61235E-08,10.1621/KJBzdZDiD4.1,
1756724,Farnesoid X receptor (FXR),ALL,ALL,House Mouse,Mt2,99.81,0.666666667,2.348892236,1.61235E-08,10.1621/KJBzdZDiD4.1,
