10.1621/SIzL9WMaTt.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
2068218,Retinoic acid receptors,ALL,ALL,House Mouse,Dhrs3,99.99,0.727272727,2.701720778,8.52681E-17,10.1621/SIzL9WMaTt.1,
2084163,Retinoic acid receptors,ALL,ALL,House Mouse,Plce1,99.99,0.8125,1.554652014,5.92753E-15,10.1621/SIzL9WMaTt.1,
2071668,Retinoic acid receptors,ALL,ALL,House Mouse,Hoxa5,99.98,0.636363636,2.602727946,1.33201E-13,10.1621/SIzL9WMaTt.1,
2076925,Retinoic acid receptors,ALL,ALL,House Mouse,Rbp1,99.98,0.636363636,2.090250814,1.33201E-13,10.1621/SIzL9WMaTt.1,
2073763,Retinoic acid receptors,ALL,ALL,House Mouse,Cyp26a1,99.98,0.636363636,3.496864417,1.33201E-13,10.1621/SIzL9WMaTt.1,
2081537,Retinoic acid receptors,ALL,ALL,House Mouse,Rarb,99.97,0.75,2.84553198,3.67842E-13,10.1621/SIzL9WMaTt.1,
2077729,Retinoic acid receptors,ALL,ALL,House Mouse,Hoxb5,99.96,0.565217391,2.436740117,8.6863E-12,10.1621/SIzL9WMaTt.1,
2084098,Retinoic acid receptors,ALL,ALL,House Mouse,Grasp,99.96,0.6875,1.375306975,1.68711E-11,10.1621/SIzL9WMaTt.1,
2077115,Retinoic acid receptors,ALL,ALL,House Mouse,Hoxa1,99.95,0.545454545,2.261842632,9.84842E-11,10.1621/SIzL9WMaTt.1,
2078786,Retinoic acid receptors,ALL,ALL,House Mouse,Hoxb1,99.95,0.545454545,2.307300938,9.84842E-11,10.1621/SIzL9WMaTt.1,
2074800,Retinoic acid receptors,ALL,ALL,House Mouse,Tmem51,99.94,0.625,1.357213683,5.91736E-10,10.1621/SIzL9WMaTt.1,
2070083,Retinoic acid receptors,ALL,ALL,House Mouse,Tubb3,99.94,0.5,1.457426529,2.05771E-09,10.1621/SIzL9WMaTt.1,
2072952,Retinoic acid receptors,ALL,ALL,House Mouse,Il33,99.92,0.5625,1.506465873,1.61952E-08,10.1621/SIzL9WMaTt.1,
2089504,Retinoic acid receptors,ALL,ALL,House Mouse,Tle6,99.92,0.5625,1.55517576,1.61952E-08,10.1621/SIzL9WMaTt.1,
2080582,Retinoic acid receptors,ALL,ALL,House Mouse,Zfp7,99.92,0.5625,1.463446293,1.61952E-08,10.1621/SIzL9WMaTt.1,
2080572,Retinoic acid receptors,ALL,ALL,House Mouse,Zadh2,99.92,0.5625,1.764735421,1.61952E-08,10.1621/SIzL9WMaTt.1,
2077423,Retinoic acid receptors,ALL,ALL,House Mouse,Tshz1,99.92,0.5625,2.232758874,1.61952E-08,10.1621/SIzL9WMaTt.1,
2076399,Retinoic acid receptors,ALL,ALL,House Mouse,Camk1,99.92,0.5625,1.548429059,1.61952E-08,10.1621/SIzL9WMaTt.1,
2068215,Retinoic acid receptors,ALL,ALL,House Mouse,Cxcr4,99.89,0.454545455,1.53206832,3.61809E-08,10.1621/SIzL9WMaTt.1,
2076921,Retinoic acid receptors,ALL,ALL,House Mouse,Myc,99.89,0.454545455,1.488196457,3.61809E-08,10.1621/SIzL9WMaTt.1,
2076783,Retinoic acid receptors,ALL,ALL,House Mouse,Stra6,99.89,0.454545455,1.834639882,3.61809E-08,10.1621/SIzL9WMaTt.1,
2076183,Retinoic acid receptors,ALL,ALL,House Mouse,Mmp15,99.89,0.454545455,1.430893162,3.61809E-08,10.1621/SIzL9WMaTt.1,
2072095,Retinoic acid receptors,ALL,ALL,House Mouse,Kit,99.89,0.454545455,1.318438765,3.61809E-08,10.1621/SIzL9WMaTt.1,
2071719,Retinoic acid receptors,ALL,ALL,House Mouse,Fhod3,99.89,0.454545455,1.467224996,3.61809E-08,10.1621/SIzL9WMaTt.1,
2070197,Retinoic acid receptors,ALL,ALL,House Mouse,Ephx2,99.89,0.454545455,1.277234861,3.61809E-08,10.1621/SIzL9WMaTt.1,
