10.1621/YjauVBA6hX.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
1807330,Androgen receptor,ALL,ALL,House Mouse,Tpd52l1,99.99,0.53125,1.299168853,2.09085E-14,10.1621/YjauVBA6hX.1,
1826923,Androgen receptor,ALL,ALL,House Mouse,Phlda1,99.99,0.516129032,1.543705638,2.22745E-13,10.1621/YjauVBA6hX.1,
1825598,Androgen receptor,ALL,ALL,House Mouse,Smox,99.98,0.441176471,1.674090666,2.27873E-11,10.1621/YjauVBA6hX.1,
1825572,Androgen receptor,ALL,ALL,House Mouse,Slc25a33,99.98,0.466666667,1.424810667,4.13714E-11,10.1621/YjauVBA6hX.1,
1808155,Androgen receptor,ALL,ALL,House Mouse,Ephx1,99.97,0.451612903,1.200386477,7.19342E-11,10.1621/YjauVBA6hX.1,
1814659,Androgen receptor,ALL,ALL,House Mouse,Vegfd,99.97,0.451612903,1.285684625,7.19342E-11,10.1621/YjauVBA6hX.1,
1831373,Androgen receptor,ALL,ALL,House Mouse,Mpi,99.96,0.433333333,1.261655696,6.52627E-10,10.1621/YjauVBA6hX.1,
1819867,Androgen receptor,ALL,ALL,House Mouse,Ankrd13a,99.95,0.419354839,1.193388579,1.07202E-09,10.1621/YjauVBA6hX.1,
1825090,Androgen receptor,ALL,ALL,House Mouse,Serpina3n,99.95,0.419354839,1.481120966,1.07202E-09,10.1621/YjauVBA6hX.1,
1824133,Androgen receptor,ALL,ALL,House Mouse,Sult1a1,99.95,0.419354839,1.419079593,1.07202E-09,10.1621/YjauVBA6hX.1,
1819063,Androgen receptor,ALL,ALL,House Mouse,Nrp1,99.94,0.40625,1.284340299,1.72207E-09,10.1621/YjauVBA6hX.1,
1820029,Androgen receptor,ALL,ALL,House Mouse,Fkbp5,99.94,0.40625,1.653577339,1.72207E-09,10.1621/YjauVBA6hX.1,
1838015,Androgen receptor,ALL,ALL,House Mouse,Mrpl22,99.93,0.444444444,1.211415102,2.09225E-09,10.1621/YjauVBA6hX.1,
1827139,Androgen receptor,ALL,ALL,House Mouse,Htra1,99.93,0.428571429,1.287790552,3.49321E-09,10.1621/YjauVBA6hX.1,
1819691,Androgen receptor,ALL,ALL,House Mouse,5830485P09Rik,99.92,0.727272727,1.752526613,5.62402E-09,10.1621/YjauVBA6hX.1,
1826361,Androgen receptor,ALL,ALL,House Mouse,Nt5c,99.91,0.4,1.255621715,9.04041E-09,10.1621/YjauVBA6hX.1,
1839899,Androgen receptor,ALL,ALL,House Mouse,Chst1,99.91,0.4,1.22262555,9.04041E-09,10.1621/YjauVBA6hX.1,
1834801,Androgen receptor,ALL,ALL,House Mouse,Creld2,99.91,0.4,1.374950352,9.04041E-09,10.1621/YjauVBA6hX.1,
1801943,Androgen receptor,ALL,ALL,House Mouse,Ank,99.89,0.387096774,1.202640562,1.40731E-08,10.1621/YjauVBA6hX.1,
1827759,Androgen receptor,ALL,ALL,House Mouse,Man2a1,99.89,0.387096774,1.220411474,1.40731E-08,10.1621/YjauVBA6hX.1,
1825067,Androgen receptor,ALL,ALL,House Mouse,Exoc7,99.89,0.387096774,1.221322316,1.40731E-08,10.1621/YjauVBA6hX.1,
1822407,Androgen receptor,ALL,ALL,House Mouse,H2-Ke6,99.89,0.387096774,1.142498216,1.40731E-08,10.1621/YjauVBA6hX.1,
1821839,Androgen receptor,ALL,ALL,House Mouse,Rab5c,99.89,0.387096774,1.188273068,1.40731E-08,10.1621/YjauVBA6hX.1,
1817271,Androgen receptor,ALL,ALL,House Mouse,Cmas,99.89,0.387096774,1.137211949,1.40731E-08,10.1621/YjauVBA6hX.1,
1816607,Androgen receptor,ALL,ALL,House Mouse,Cmtm3,99.89,0.387096774,1.216996003,1.40731E-08,10.1621/YjauVBA6hX.1,
1815631,Androgen receptor,ALL,ALL,House Mouse,Rasl11b,99.89,0.387096774,1.38457322,1.40731E-08,10.1621/YjauVBA6hX.1,
1810467,Androgen receptor,ALL,ALL,House Mouse,Nfil3,99.86,0.375,1.357328989,2.14837E-08,10.1621/YjauVBA6hX.1,
1827887,Androgen receptor,ALL,ALL,House Mouse,Atp1b2,99.86,0.375,1.358617451,2.14837E-08,10.1621/YjauVBA6hX.1,
1820997,Androgen receptor,ALL,ALL,House Mouse,Sgk1,99.85,0.363636364,1.481318848,3.22114E-08,10.1621/YjauVBA6hX.1,
1838107,Androgen receptor,ALL,ALL,House Mouse,Ddit4l,99.85,0.363636364,1.410187706,3.22114E-08,10.1621/YjauVBA6hX.1,
1808868,Androgen receptor,ALL,ALL,House Mouse,Dnajb13,99.85,0.392857143,1.352869802,4.7335E-08,10.1621/YjauVBA6hX.1,
1816518,Androgen receptor,ALL,ALL,House Mouse,Itga6,99.85,0.392857143,1.231918573,4.7335E-08,10.1621/YjauVBA6hX.1,
1814302,Androgen receptor,ALL,ALL,House Mouse,Rasl11a,99.83,0.434782609,1.488423545,6.11171E-08,10.1621/YjauVBA6hX.1,
1832867,Androgen receptor,ALL,ALL,House Mouse,Ctxn1,99.83,0.434782609,1.443189044,6.11171E-08,10.1621/YjauVBA6hX.1,
1829507,Androgen receptor,ALL,ALL,House Mouse,Camk2n1,99.83,0.434782609,1.21339634,6.11171E-08,10.1621/YjauVBA6hX.1,
1823957,Androgen receptor,ALL,ALL,House Mouse,2310022B05Rik,99.83,0.434782609,1.261618068,6.11171E-08,10.1621/YjauVBA6hX.1,
1814146,Androgen receptor,ALL,ALL,House Mouse,Zfyve21,99.79,0.366666667,1.216375149,1.09694E-07,10.1621/YjauVBA6hX.1,
1839057,Androgen receptor,ALL,ALL,House Mouse,Evc,99.79,0.366666667,1.20790724,1.09694E-07,10.1621/YjauVBA6hX.1,
1838199,Androgen receptor,ALL,ALL,House Mouse,Klf15,99.79,0.366666667,1.28597012,1.09694E-07,10.1621/YjauVBA6hX.1,
1833133,Androgen receptor,ALL,ALL,House Mouse,Acadsb,99.79,0.366666667,1.191489458,1.09694E-07,10.1621/YjauVBA6hX.1,
1830510,Androgen receptor,ALL,ALL,House Mouse,Pnpla7,99.79,0.366666667,1.25253919,1.09694E-07,10.1621/YjauVBA6hX.1,
1828773,Androgen receptor,ALL,ALL,House Mouse,Jdp2,99.79,0.366666667,1.233081874,1.09694E-07,10.1621/YjauVBA6hX.1,
