10.1621/bzZQTlQOpH.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
1482159,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Slc25a20,99.99,0.637426901,1.640455713,1.8031E-96,10.1621/bzZQTlQOpH.1,
1516649,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Pdk4,99.99,0.608187135,3.326954057,5.42274E-89,10.1621/bzZQTlQOpH.1,
1479438,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Retsat,99.98,0.593023256,1.997363036,1.04562E-85,10.1621/bzZQTlQOpH.1,
1519076,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Eci1,99.98,0.584795322,1.517432243,3.35618E-83,10.1621/bzZQTlQOpH.1,
1535906,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Ehhadh,99.97,0.581395349,2.281776616,7.62078E-83,10.1621/bzZQTlQOpH.1,
1536638,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Ech1,99.97,0.567251462,1.516692,5.7586E-79,10.1621/bzZQTlQOpH.1,
1478136,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Hsdl2,99.97,0.579268293,1.687661922,1.41655E-78,10.1621/bzZQTlQOpH.1,
1475976,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Acaa1b,99.96,0.593548387,2.039060208,1.60633E-77,10.1621/bzZQTlQOpH.1,
1475188,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Acsl1,99.96,0.543859649,1.608787552,1.83039E-73,10.1621/bzZQTlQOpH.1,
1535883,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Plin2,99.95,0.541176471,1.516045488,1.99193E-72,10.1621/bzZQTlQOpH.1,
1517396,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Acox1,99.95,0.538011696,1.501603774,4.09848E-72,10.1621/bzZQTlQOpH.1,
1536643,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Ephx2,99.95,0.538011696,1.472392586,4.09848E-72,10.1621/bzZQTlQOpH.1,
1521472,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Pex11a,99.94,0.526011561,1.861438657,3.62909E-70,10.1621/bzZQTlQOpH.1,
1478656,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Pxmp4,99.94,0.557692308,1.472895322,4.05374E-70,10.1621/bzZQTlQOpH.1,
1540316,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Acadl,99.93,0.526315789,1.396122517,1.91582E-69,10.1621/bzZQTlQOpH.1,
1538115,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,G0s2,99.93,0.523255814,2.171527036,3.81994E-69,10.1621/bzZQTlQOpH.1,
1515845,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Mcrip2,99.92,0.55483871,1.56087935,4.52371E-69,10.1621/bzZQTlQOpH.1,
1537625,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Acot1,99.92,0.56,2.511044971,5.78061E-68,10.1621/bzZQTlQOpH.1,
1512681,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Crat,99.92,0.51744186,1.636487573,7.87918E-68,10.1621/bzZQTlQOpH.1,
1521280,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Aldh3a2,99.91,0.530487805,1.725002727,1.40169E-67,10.1621/bzZQTlQOpH.1,
1474649,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Hadhb,99.91,0.514619883,1.4400033,8.1587E-67,10.1621/bzZQTlQOpH.1,
1521474,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Decr1,99.91,0.514619883,1.533288533,8.1587E-67,10.1621/bzZQTlQOpH.1,
1535196,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Mlycd,99.9,0.514792899,1.288916152,4.31543E-66,10.1621/bzZQTlQOpH.1,
1482851,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Cd36,99.89,0.5,1.898835256,3.18642E-63,10.1621/bzZQTlQOpH.1,
1536695,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Cidec,99.89,0.5,2.519060934,3.18642E-63,10.1621/bzZQTlQOpH.1,
1474594,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Oplah,99.89,0.519230769,1.425248145,4.81723E-62,10.1621/bzZQTlQOpH.1,
1477945,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Slc22a5,99.88,0.494117647,1.806743364,5.99157E-62,10.1621/bzZQTlQOpH.1,
1478763,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Creb3l3,99.88,0.516129032,1.315036409,5.00562E-61,10.1621/bzZQTlQOpH.1,
1478335,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Eci2,99.87,0.482352941,1.404820604,1.97502E-59,10.1621/bzZQTlQOpH.1,
1519790,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,4931406C07Rik,99.87,0.482352941,1.472191813,1.97502E-59,10.1621/bzZQTlQOpH.1,
1512084,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Pparg,99.87,0.509803922,1.659243978,5.30816E-59,10.1621/bzZQTlQOpH.1,
1475245,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Mmd,99.86,0.5,1.443680894,3.72054E-58,10.1621/bzZQTlQOpH.1,
1536827,Peroxisome proliferator-activated receptors,ALL,ALL,House Mouse,Me1,99.86,0.481927711,1.639800271,5.5228E-58,10.1621/bzZQTlQOpH.1,
