10.1621/eKFA8s5YRX.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
2027459,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Rbp1,99.99,0.722222222,2.128251719,8.24724E-14,10.1621/eKFA8s5YRX.1,
2032606,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Cyp26a1,99.99,0.722222222,3.827563753,8.24724E-14,10.1621/eKFA8s5YRX.1,
2027455,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Myc,99.98,0.611111111,1.503488074,1.11929E-10,10.1621/eKFA8s5YRX.1,
2028955,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Dhrs3,99.98,0.611111111,2.00650592,1.11929E-10,10.1621/eKFA8s5YRX.1,
2039434,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Hoxb5,99.97,0.578947368,2.5620185,2.53677E-10,10.1621/eKFA8s5YRX.1,
2048220,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Slc41a2,99.96,0.692307692,1.836492487,1.16174E-09,10.1621/eKFA8s5YRX.1,
2027671,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Lbp,99.95,0.555555556,1.529868419,2.94689E-09,10.1621/eKFA8s5YRX.1,
2032226,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Hoxa5,99.95,0.555555556,2.569883637,2.94689E-09,10.1621/eKFA8s5YRX.1,
2029223,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Csrp2,99.95,0.555555556,1.314641388,2.94689E-09,10.1621/eKFA8s5YRX.1,
2031700,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Slc16a7,99.94,0.529411765,1.425685113,3.28714E-08,10.1621/eKFA8s5YRX.1,
2040852,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Ttc39c,99.94,0.615384615,1.483828292,4.00624E-08,10.1621/eKFA8s5YRX.1,
2041607,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Ube2e2,99.94,0.615384615,1.283962606,4.00624E-08,10.1621/eKFA8s5YRX.1,
2027446,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Bhlhe40,99.92,0.5,1.479218971,6.2796E-08,10.1621/eKFA8s5YRX.1,
2033349,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Timm8a1,99.92,0.5,1.229233969,6.2796E-08,10.1621/eKFA8s5YRX.1,
2027714,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Traf3ip2,99.92,0.5,1.283872752,6.2796E-08,10.1621/eKFA8s5YRX.1,
2027491,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Rin2,99.92,0.5,1.379621186,6.2796E-08,10.1621/eKFA8s5YRX.1,
2043961,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Clec2h,99.9,0.583333333,1.897996475,4.949E-07,10.1621/eKFA8s5YRX.1,
2047766,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Ces1e,99.9,0.583333333,1.537314603,4.949E-07,10.1621/eKFA8s5YRX.1,
2044631,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Aox3,99.9,0.583333333,1.534358709,4.949E-07,10.1621/eKFA8s5YRX.1,
2039619,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Acot1,99.88,0.538461538,1.39215877,1.02554E-06,10.1621/eKFA8s5YRX.1,
2048513,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Tmem19,99.88,0.538461538,1.258775201,1.02554E-06,10.1621/eKFA8s5YRX.1,
2047736,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Abcg5,99.88,0.538461538,1.775145562,1.02554E-06,10.1621/eKFA8s5YRX.1,
2046341,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Ttpa,99.88,0.538461538,1.359954449,1.02554E-06,10.1621/eKFA8s5YRX.1,
2044356,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Rarb,99.88,0.538461538,2.594542129,1.02554E-06,10.1621/eKFA8s5YRX.1,
2043208,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Xylb,99.88,0.538461538,1.249017945,1.02554E-06,10.1621/eKFA8s5YRX.1,
2026797,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Ctgf,99.82,0.444444444,1.352342861,1.08622E-06,10.1621/eKFA8s5YRX.1,
2046941,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Kit,99.82,0.444444444,1.266905181,1.08622E-06,10.1621/eKFA8s5YRX.1,
2045349,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Gclc,99.82,0.444444444,1.23532858,1.08622E-06,10.1621/eKFA8s5YRX.1,
2043798,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Ctnnbip1,99.82,0.444444444,1.204943072,1.08622E-06,10.1621/eKFA8s5YRX.1,
2038057,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Fkbp5,99.82,0.444444444,1.378637444,1.08622E-06,10.1621/eKFA8s5YRX.1,
2038018,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Arg1,99.82,0.444444444,2.508282187,1.08622E-06,10.1621/eKFA8s5YRX.1,
2037841,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Mcm10,99.82,0.444444444,1.56361783,1.08622E-06,10.1621/eKFA8s5YRX.1,
2036347,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Pde6d,99.82,0.444444444,1.201065135,1.08622E-06,10.1621/eKFA8s5YRX.1,
2035800,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Plin2,99.82,0.444444444,1.353199516,1.08622E-06,10.1621/eKFA8s5YRX.1,
2035567,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Por,99.82,0.444444444,1.344385246,1.08622E-06,10.1621/eKFA8s5YRX.1,
2034087,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Gna14,99.82,0.444444444,1.574833631,1.08622E-06,10.1621/eKFA8s5YRX.1,
2033941,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Aldh3a2,99.82,0.444444444,1.305884892,1.08622E-06,10.1621/eKFA8s5YRX.1,
2033284,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Hoxa1,99.82,0.444444444,1.967348017,1.08622E-06,10.1621/eKFA8s5YRX.1,
2033003,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,E2f8,99.82,0.444444444,1.397894219,1.08622E-06,10.1621/eKFA8s5YRX.1,
2032487,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Igf2r,99.82,0.444444444,1.238519485,1.08622E-06,10.1621/eKFA8s5YRX.1,
2032356,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Cry1,99.82,0.444444444,1.376410201,1.08622E-06,10.1621/eKFA8s5YRX.1,
2028131,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Btg2,99.82,0.444444444,1.411004918,1.08622E-06,10.1621/eKFA8s5YRX.1,
2027502,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Arhgef3,99.82,0.444444444,1.18947991,1.08622E-06,10.1621/eKFA8s5YRX.1,
2026900,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Gsta4,99.82,0.444444444,1.294003163,1.08622E-06,10.1621/eKFA8s5YRX.1,
2030069,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Smpdl3a,99.76,0.421052632,1.327173825,1.7933E-06,10.1621/eKFA8s5YRX.1,
2038478,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Id1,99.76,0.421052632,1.456503922,1.7933E-06,10.1621/eKFA8s5YRX.1,
2035518,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Timp3,99.76,0.421052632,1.207930988,1.7933E-06,10.1621/eKFA8s5YRX.1,
2044278,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,C730036E19Rik,99.75,0.833333333,2.39556023,1.79688E-06,10.1621/eKFA8s5YRX.1,
2050608,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Stra6l,99.75,0.6,1.901025411,2.75458E-06,10.1621/eKFA8s5YRX.1,
2039692,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Ggt6,99.71,0.545454545,1.54599088,5.80135E-06,10.1621/eKFA8s5YRX.1,
2051816,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Pgm3,99.71,0.545454545,1.285029808,5.80135E-06,10.1621/eKFA8s5YRX.1,
2048863,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Prelid2,99.71,0.545454545,1.468498328,5.80135E-06,10.1621/eKFA8s5YRX.1,
2048756,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Aifm2,99.71,0.545454545,1.33846034,5.80135E-06,10.1621/eKFA8s5YRX.1,
2048128,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Fnip2,99.71,0.545454545,1.348366828,5.80135E-06,10.1621/eKFA8s5YRX.1,
2047941,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Rnf125,99.71,0.545454545,1.564540119,5.80135E-06,10.1621/eKFA8s5YRX.1,
2047282,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Jpt2,99.71,0.545454545,1.285940302,5.80135E-06,10.1621/eKFA8s5YRX.1,
2045645,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Irak3,99.71,0.545454545,1.563132401,5.80135E-06,10.1621/eKFA8s5YRX.1,
2045155,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Slc36a4,99.71,0.545454545,1.40807139,5.80135E-06,10.1621/eKFA8s5YRX.1,
2044061,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Tctex1d2,99.71,0.545454545,1.213482375,5.80135E-06,10.1621/eKFA8s5YRX.1,
2043609,Retinoic acid-related orphan receptors,ALL,ALL,House Mouse,Gpat3,99.71,0.545454545,1.475488086,5.80135E-06,10.1621/eKFA8s5YRX.1,
