10.1621/nHAplbKZVf.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
1926665,Mineralocorticoid receptor,ALL,ALL,House Mouse,Per1,99.99,0.714285714,2.431713917,9.7838E-35,10.1621/nHAplbKZVf.1,
1925018,Mineralocorticoid receptor,ALL,ALL,House Mouse,Map3k6,99.99,0.7,2.459037199,3.10282E-34,10.1621/nHAplbKZVf.1,
1933904,Mineralocorticoid receptor,ALL,ALL,House Mouse,Fkbp5,99.98,0.68627451,3.746668606,9.40976E-34,10.1621/nHAplbKZVf.1,
1911081,Mineralocorticoid receptor,ALL,ALL,House Mouse,Mt2,99.98,0.66,2.131369268,4.92251E-31,10.1621/nHAplbKZVf.1,
1916962,Mineralocorticoid receptor,ALL,ALL,House Mouse,Errfi1,99.97,0.647058824,2.021417091,1.32708E-30,10.1621/nHAplbKZVf.1,
1923525,Mineralocorticoid receptor,ALL,ALL,House Mouse,Slc25a33,99.97,0.688888889,1.988373791,3.87861E-30,10.1621/nHAplbKZVf.1,
1929857,Mineralocorticoid receptor,ALL,ALL,House Mouse,Lcn2,99.96,0.645833333,4.464679925,8.50109E-29,10.1621/nHAplbKZVf.1,
1930711,Mineralocorticoid receptor,ALL,ALL,House Mouse,Ddit4,99.96,0.625,2.039048462,2.78917E-27,10.1621/nHAplbKZVf.1,
1922446,Mineralocorticoid receptor,ALL,ALL,House Mouse,Rhou,99.96,0.6,1.865265287,1.62863E-26,10.1621/nHAplbKZVf.1,
1925013,Mineralocorticoid receptor,ALL,ALL,House Mouse,Klf9,99.95,0.588235294,1.953145062,3.76408E-26,10.1621/nHAplbKZVf.1,
1912842,Mineralocorticoid receptor,ALL,ALL,House Mouse,Tsc22d3,99.95,0.576923077,2.211166697,8.4669E-26,10.1621/nHAplbKZVf.1,
1916271,Mineralocorticoid receptor,ALL,ALL,House Mouse,Cdkn1a,99.94,0.591836735,2.573383748,1.95664E-25,10.1621/nHAplbKZVf.1,
1932354,Mineralocorticoid receptor,ALL,ALL,House Mouse,Klf15,99.94,0.608695652,2.256963758,4.31176E-25,10.1621/nHAplbKZVf.1,
1914358,Mineralocorticoid receptor,ALL,ALL,House Mouse,Nfil3,99.93,0.58,1.883983782,4.43375E-25,10.1621/nHAplbKZVf.1,
1932294,Mineralocorticoid receptor,ALL,ALL,House Mouse,Slc10a6,99.93,0.58,2.357840034,4.43375E-25,10.1621/nHAplbKZVf.1,
1926637,Mineralocorticoid receptor,ALL,ALL,House Mouse,Sgk1,99.93,0.58,2.520485995,4.43375E-25,10.1621/nHAplbKZVf.1,
1912634,Mineralocorticoid receptor,ALL,ALL,House Mouse,Mt1,99.92,0.568627451,2.001960851,9.78206E-25,10.1621/nHAplbKZVf.1,
1927444,Mineralocorticoid receptor,ALL,ALL,House Mouse,Nfkbia,99.92,0.568627451,1.760818974,9.78206E-25,10.1621/nHAplbKZVf.1,
1931127,Mineralocorticoid receptor,ALL,ALL,House Mouse,Fam107a,99.91,0.65,9.412064853,1.7336E-24,10.1621/nHAplbKZVf.1,
1929797,Mineralocorticoid receptor,ALL,ALL,House Mouse,Pim3,99.91,0.583333333,1.856899457,2.3189E-24,10.1621/nHAplbKZVf.1,
1931519,Mineralocorticoid receptor,ALL,ALL,House Mouse,Lpin1,99.9,0.571428571,2.054202527,5.14989E-24,10.1621/nHAplbKZVf.1,
1934769,Mineralocorticoid receptor,ALL,ALL,House Mouse,Trp53inp1,99.9,0.6,1.761660854,5.25539E-24,10.1621/nHAplbKZVf.1,
1930636,Mineralocorticoid receptor,ALL,ALL,House Mouse,Sesn1,99.89,0.56,1.831478803,1.114E-23,10.1621/nHAplbKZVf.1,
1930722,Mineralocorticoid receptor,ALL,ALL,House Mouse,Spsb1,99.89,0.56,1.600225838,1.114E-23,10.1621/nHAplbKZVf.1,
1925751,Mineralocorticoid receptor,ALL,ALL,House Mouse,Rgs2,99.88,0.538461538,1.752748545,4.84846E-23,10.1621/nHAplbKZVf.1,
1925830,Mineralocorticoid receptor,ALL,ALL,House Mouse,Dusp1,99.88,0.551020408,1.870281529,1.24952E-22,10.1621/nHAplbKZVf.1,
1931936,Mineralocorticoid receptor,ALL,ALL,House Mouse,Csrnp1,99.88,0.6,2.035178759,1.70611E-21,10.1621/nHAplbKZVf.1,
1931514,Mineralocorticoid receptor,ALL,ALL,House Mouse,Plin4,99.87,0.530612245,2.507923823,2.79706E-21,10.1621/nHAplbKZVf.1,
1935069,Mineralocorticoid receptor,ALL,ALL,House Mouse,Dusp14,99.87,0.555555556,1.592810693,3.52896E-21,10.1621/nHAplbKZVf.1,
1921519,Mineralocorticoid receptor,ALL,ALL,House Mouse,Gadd45g,99.86,0.52,2.179157503,5.54711E-21,10.1621/nHAplbKZVf.1,
1930700,Mineralocorticoid receptor,ALL,ALL,House Mouse,Arl4c,99.86,0.509803922,1.501235086,1.07722E-20,10.1621/nHAplbKZVf.1,
1916318,Mineralocorticoid receptor,ALL,ALL,House Mouse,Ier3,99.85,0.531914894,1.503805439,1.4967E-20,10.1621/nHAplbKZVf.1,
1924329,Mineralocorticoid receptor,ALL,ALL,House Mouse,Depdc7,99.85,0.545454545,1.534179639,3.92764E-20,10.1621/nHAplbKZVf.1,
1923551,Mineralocorticoid receptor,ALL,ALL,House Mouse,Smox,99.84,0.533333333,1.746029745,8.01306E-20,10.1621/nHAplbKZVf.1,
1925493,Mineralocorticoid receptor,ALL,ALL,House Mouse,Tcim,99.84,0.533333333,1.821017833,8.01306E-20,10.1621/nHAplbKZVf.1,
1929882,Mineralocorticoid receptor,ALL,ALL,House Mouse,Adm,99.84,0.5,1.742091657,1.10049E-19,10.1621/nHAplbKZVf.1,
1914583,Mineralocorticoid receptor,ALL,ALL,House Mouse,Zbtb16,99.83,0.522727273,2.954995438,8.56361E-19,10.1621/nHAplbKZVf.1,
1939281,Mineralocorticoid receptor,ALL,ALL,House Mouse,Chac1,99.83,0.522727273,1.413402067,8.56361E-19,10.1621/nHAplbKZVf.1,
1915223,Mineralocorticoid receptor,ALL,ALL,House Mouse,Rhob,99.82,0.489795918,1.538445353,1.10282E-18,10.1621/nHAplbKZVf.1,
1931522,Mineralocorticoid receptor,ALL,ALL,House Mouse,F3,99.82,0.489795918,1.678620549,1.10282E-18,10.1621/nHAplbKZVf.1,
1929105,Mineralocorticoid receptor,ALL,ALL,House Mouse,Ctgf,99.82,0.489795918,1.812375352,1.10282E-18,10.1621/nHAplbKZVf.1,
1927367,Mineralocorticoid receptor,ALL,ALL,House Mouse,Jun,99.82,0.489795918,1.427289628,1.10282E-18,10.1621/nHAplbKZVf.1,
1923304,Mineralocorticoid receptor,ALL,ALL,House Mouse,Glul,99.81,0.48,1.595859499,2.01922E-18,10.1621/nHAplbKZVf.1,
1920310,Mineralocorticoid receptor,ALL,ALL,House Mouse,Hopx,99.8,0.46,1.462835528,3.42629E-17,10.1621/nHAplbKZVf.1,
1930746,Mineralocorticoid receptor,ALL,ALL,House Mouse,Tns1,99.79,0.5,1.458889289,9.20101E-17,10.1621/nHAplbKZVf.1,
1940040,Mineralocorticoid receptor,ALL,ALL,House Mouse,Pcolce2,99.79,0.5,1.476478789,9.20101E-17,10.1621/nHAplbKZVf.1,
1916238,Mineralocorticoid receptor,ALL,ALL,House Mouse,Cyb561,99.79,0.468085106,1.429738487,1.04026E-16,10.1621/nHAplbKZVf.1,
1931528,Mineralocorticoid receptor,ALL,ALL,House Mouse,Cebpb,99.79,0.468085106,1.598229511,1.04026E-16,10.1621/nHAplbKZVf.1,
1923405,Mineralocorticoid receptor,ALL,ALL,House Mouse,Mertk,99.78,0.458333333,1.676362219,1.82887E-16,10.1621/nHAplbKZVf.1,
1931097,Mineralocorticoid receptor,ALL,ALL,House Mouse,Lhfpl2,99.77,0.512820513,1.560726892,2.60376E-16,10.1621/nHAplbKZVf.1,
1934168,Mineralocorticoid receptor,ALL,ALL,House Mouse,Arrdc2,99.77,0.512820513,2.389813827,2.60376E-16,10.1621/nHAplbKZVf.1,
1924368,Mineralocorticoid receptor,ALL,ALL,House Mouse,Tmem51,99.77,0.477272727,1.402878898,3.12054E-16,10.1621/nHAplbKZVf.1,
1909155,Mineralocorticoid receptor,ALL,ALL,House Mouse,Phlda1,99.75,0.448979592,1.647839971,3.16073E-16,10.1621/nHAplbKZVf.1,
1930735,Mineralocorticoid receptor,ALL,ALL,House Mouse,Pdk4,99.75,0.448979592,2.168582025,3.16073E-16,10.1621/nHAplbKZVf.1,
1930709,Mineralocorticoid receptor,ALL,ALL,House Mouse,Dbp,99.75,0.448979592,1.909419325,3.16073E-16,10.1621/nHAplbKZVf.1,
1930702,Mineralocorticoid receptor,ALL,ALL,House Mouse,Cdo1,99.75,0.448979592,1.52913139,3.16073E-16,10.1621/nHAplbKZVf.1,
1929873,Mineralocorticoid receptor,ALL,ALL,House Mouse,Serpina3n,99.75,0.448979592,1.806030071,3.16073E-16,10.1621/nHAplbKZVf.1,
1929353,Mineralocorticoid receptor,ALL,ALL,House Mouse,Cpm,99.74,0.542857143,1.573706376,3.55729E-16,10.1621/nHAplbKZVf.1,
1916298,Mineralocorticoid receptor,ALL,ALL,House Mouse,Serinc3,99.74,0.431372549,1.385083171,9.0017E-16,10.1621/nHAplbKZVf.1,
1924980,Mineralocorticoid receptor,ALL,ALL,House Mouse,Lrrc8a,99.73,0.446808511,1.464338149,1.68123E-15,10.1621/nHAplbKZVf.1,
1930695,Mineralocorticoid receptor,ALL,ALL,House Mouse,Ampd3,99.73,0.428571429,1.664106386,4.74452E-15,10.1621/nHAplbKZVf.1,
1924470,Mineralocorticoid receptor,ALL,ALL,House Mouse,Dusp4,99.72,0.487179487,1.65733258,4.97306E-15,10.1621/nHAplbKZVf.1,
1918900,Mineralocorticoid receptor,ALL,ALL,House Mouse,Bcl2l1,99.72,0.42,1.556620963,7.79098E-15,10.1621/nHAplbKZVf.1,
1929908,Mineralocorticoid receptor,ALL,ALL,House Mouse,Rhpn2,99.71,0.425531915,1.463685943,2.49888E-14,10.1621/nHAplbKZVf.1,
1927193,Mineralocorticoid receptor,ALL,ALL,House Mouse,6030422H21Rik,99.71,0.625,3.214517346,2.59115E-14,10.1621/nHAplbKZVf.1,
1929485,Mineralocorticoid receptor,ALL,ALL,House Mouse,Fam46b,99.7,0.486486486,1.57590111,2.68447E-14,10.1621/nHAplbKZVf.1,
1922557,Mineralocorticoid receptor,ALL,ALL,House Mouse,Il6ra,99.7,0.416666667,1.554785337,4.08047E-14,10.1621/nHAplbKZVf.1,
1922637,Mineralocorticoid receptor,ALL,ALL,House Mouse,Tob2,99.7,0.441860465,1.456951982,4.75672E-14,10.1621/nHAplbKZVf.1,
1910065,Mineralocorticoid receptor,ALL,ALL,House Mouse,Armcx2,99.68,0.408163265,1.277715038,6.56738E-14,10.1621/nHAplbKZVf.1,
1933016,Mineralocorticoid receptor,ALL,ALL,House Mouse,Usp2,99.68,0.408163265,1.639456785,6.56738E-14,10.1621/nHAplbKZVf.1,
1931503,Mineralocorticoid receptor,ALL,ALL,House Mouse,Bhlhe40,99.68,0.408163265,1.448693391,6.56738E-14,10.1621/nHAplbKZVf.1,
1928275,Mineralocorticoid receptor,ALL,ALL,House Mouse,Id1,99.68,0.408163265,1.276692316,6.56738E-14,10.1621/nHAplbKZVf.1,
1928250,Mineralocorticoid receptor,ALL,ALL,House Mouse,Ndrg2,99.68,0.408163265,1.487107054,6.56738E-14,10.1621/nHAplbKZVf.1,
1914536,Mineralocorticoid receptor,ALL,ALL,House Mouse,Rfc3,99.68,0.408163265,1.406958147,6.56738E-14,10.1621/nHAplbKZVf.1,
1913785,Mineralocorticoid receptor,ALL,ALL,House Mouse,Aldh1a1,99.68,0.408163265,1.518727708,6.56738E-14,10.1621/nHAplbKZVf.1,
1925146,Mineralocorticoid receptor,ALL,ALL,House Mouse,Lims2,99.66,0.431818182,1.432792403,7.97541E-14,10.1621/nHAplbKZVf.1,
1933251,Mineralocorticoid receptor,ALL,ALL,House Mouse,Timp4,99.66,0.431818182,1.53450047,7.97541E-14,10.1621/nHAplbKZVf.1,
1928446,Mineralocorticoid receptor,ALL,ALL,House Mouse,Plin5,99.66,0.431818182,1.742146453,7.97541E-14,10.1621/nHAplbKZVf.1,
1932764,Mineralocorticoid receptor,ALL,ALL,House Mouse,BC052040,99.65,0.461538462,1.368553945,8.59863E-14,10.1621/nHAplbKZVf.1,
1909285,Mineralocorticoid receptor,ALL,ALL,House Mouse,Pex11a,99.64,0.4,1.506115745,1.04262E-13,10.1621/nHAplbKZVf.1,
1925823,Mineralocorticoid receptor,ALL,ALL,House Mouse,Kcnk1,99.64,0.4,1.512984147,1.04262E-13,10.1621/nHAplbKZVf.1,
1924098,Mineralocorticoid receptor,ALL,ALL,House Mouse,Zfp36,99.64,0.4,1.609563339,1.04262E-13,10.1621/nHAplbKZVf.1,
1933280,Mineralocorticoid receptor,ALL,ALL,House Mouse,Slc39a14,99.63,0.422222222,1.445143768,1.31501E-13,10.1621/nHAplbKZVf.1,
1933742,Mineralocorticoid receptor,ALL,ALL,House Mouse,Acot1,99.63,0.422222222,1.573412985,1.31501E-13,10.1621/nHAplbKZVf.1,
1923619,Mineralocorticoid receptor,ALL,ALL,House Mouse,Sgms2,99.62,0.45,1.535664898,1.48956E-13,10.1621/nHAplbKZVf.1,
1921454,Mineralocorticoid receptor,ALL,ALL,House Mouse,Irf1,99.61,0.404255319,1.331678991,3.41306E-13,10.1621/nHAplbKZVf.1,
1930730,Mineralocorticoid receptor,ALL,ALL,House Mouse,Cebpd,99.61,0.404255319,1.57825565,3.41306E-13,10.1621/nHAplbKZVf.1,
